invoice_id,id,service_type,amount
9adfa542-36eb-428c-a03e-5ce57558265d,9ff2ed80-d8dd-4a2d-89be-d02117a7335f,construction,43
9adfa542-36eb-428c-a03e-5ce57558265d,2f61fc10-9fc0-4240-bea5-7ff76bcaf8d1,other,1794
9adfa542-36eb-428c-a03e-5ce57558265d,1f85e97f-514e-4842-aa41-ba869e6a331f,painting,433
9adfa542-36eb-428c-a03e-5ce57558265d,54b63130-6211-4551-a9bc-943012654af9,construction,2363
9adfa542-36eb-428c-a03e-5ce57558265d,d0d94226-18e8-44cf-a4b1-65da7c727171,other,4213
a5349b86-99c8-4438-88e9-a690e47417e2,2ffce005-059c-4be0-b30e-281c2c37806f,install,7021
ff9af434-dfe0-4df6-a51f-43db981082cd,e0111064-bcb4-4ac5-a5c8-202c392efac0,cleaning,290
ff9af434-dfe0-4df6-a51f-43db981082cd,46868396-6b34-44bc-af2d-4d5dbb1c5ec9,repair,8842
4126ee23-0ebb-488a-aedf-fb5a1a6c99f0,1f638072-aaff-4c12-8b48-9606910710f4,painting,425
4126ee23-0ebb-488a-aedf-fb5a1a6c99f0,bf6627a4-0746-4cd1-a144-b6123bce4111,install,1962
4126ee23-0ebb-488a-aedf-fb5a1a6c99f0,ed0686dc-5e8c-4d13-b5f3-dd2ca08cc353,cleaning,1210
4126ee23-0ebb-488a-aedf-fb5a1a6c99f0,506cc0b6-45ac-44ec-8815-09c90ea7eb45,repair,3308
104b3dd6-40ad-4481-8502-ee43a42b962b,0e58a204-21c6-4281-afa1-f6990d2279ca,construction,1413
7aee3d36-bfda-48a9-b714-08ccc8bdaef9,34836dd3-d74f-4301-a10a-25e5431fb28c,maintenance,147
7aee3d36-bfda-48a9-b714-08ccc8bdaef9,c08d6991-c131-40cb-acc6-881b1b097302,cleaning,36
7aee3d36-bfda-48a9-b714-08ccc8bdaef9,ea46e4d8-041c-4bfe-b231-6bf68b91f6df,other,441
e5667d85-0cc1-4f39-9463-3a7a611b20d6,673c1a2e-73c5-48a7-afd9-f5080dcc9479,install,1064
e5667d85-0cc1-4f39-9463-3a7a611b20d6,7ee77ef4-4c38-4b82-8fbe-3d8253c4ec7e,install,433
e5667d85-0cc1-4f39-9463-3a7a611b20d6,0e106f9c-d7c8-4a03-b4e0-489404c0cb43,construction,1389
e5667d85-0cc1-4f39-9463-3a7a611b20d6,91217baa-7019-433e-b04d-90d050eb81a4,painting,219
e5667d85-0cc1-4f39-9463-3a7a611b20d6,d15d00f4-bfac-4edc-8d1d-9456464acb0b,install,3559
03380cb8-4b7a-483d-baa6-71a125751b71,a02ff999-4396-4674-9af7-694425c47368,cleaning,5746
5aaf7b03-f8ac-41dd-96f2-a8391382636e,dcd18bc9-a29e-40e1-a0f5-9a47835a2705,cleaning,481
5aaf7b03-f8ac-41dd-96f2-a8391382636e,f8cbba33-2a91-4b08-8371-f44eafe6eacf,cleaning,5950
b86970e9-615c-4ac8-8e77-2a4f9aa410dc,61cc7616-98a1-4b6a-bfdd-1a1de032362c,construction,329
b86970e9-615c-4ac8-8e77-2a4f9aa410dc,7ea68def-1972-41e7-87ce-ec9ee6b92d62,repair,905
b86970e9-615c-4ac8-8e77-2a4f9aa410dc,74c8034e-002a-4239-8e35-9231555d3f62,repair,296
b86970e9-615c-4ac8-8e77-2a4f9aa410dc,3dbb8a2c-3520-4fa7-8a00-5b577a214aa7,maintenance,264
b86970e9-615c-4ac8-8e77-2a4f9aa410dc,e60d8e8f-0c27-4325-990a-04101fe98820,other,2224
16410a15-018a-4c78-8619-87c28c7ba3df,c46bbdc2-aae4-41a9-9b9c-89c67a80da90,maintenance,7943
62568261-7bad-4932-8c4a-79bed10d697f,d2f0eb48-1252-44b3-86d6-068af7867918,repair,33
62568261-7bad-4932-8c4a-79bed10d697f,396a08b3-d180-4d45-92d8-125b3dec1509,construction,225
62568261-7bad-4932-8c4a-79bed10d697f,f10896dc-ab73-41c1-9cb2-9c1165279482,construction,202
62568261-7bad-4932-8c4a-79bed10d697f,11de165b-f919-4fd7-84da-58ac8be38151,painting,603
5eb8939d-f2d8-49d8-ac54-33f14384b0fe,700aeffb-a2f1-45b2-96fe-9218636a9daa,repair,56
5eb8939d-f2d8-49d8-ac54-33f14384b0fe,bc176817-da20-40fe-8af6-9b177eeef8b8,construction,1082
5eb8939d-f2d8-49d8-ac54-33f14384b0fe,29e8d93f-d1e9-4528-ab3f-a1560c38cc05,other,1112
5eb8939d-f2d8-49d8-ac54-33f14384b0fe,dd5be011-b4e0-4774-bcb6-4e138bfb2ee6,cleaning,6821
faec4e7d-ea7c-4984-861b-688acfde08d3,f3d4176e-7ccd-4a18-8d6a-b8c99dafb883,construction,535
faec4e7d-ea7c-4984-861b-688acfde08d3,ca04aa7c-6f98-43a2-88be-e7223bb4ffc7,repair,145
faec4e7d-ea7c-4984-861b-688acfde08d3,c79fd013-bcc2-447b-9bb2-bb819dbcaa26,other,2861
faec4e7d-ea7c-4984-861b-688acfde08d3,9cdbf1e1-a399-4ef4-b0b0-76757fa58900,painting,3384
e15c2ae3-11b6-4795-8567-b1d50081825a,609ba869-f16d-4ebf-bb96-527fe142d136,install,1937
e15c2ae3-11b6-4795-8567-b1d50081825a,f79b4c5b-2e33-4bae-87b0-dde33226fcf6,painting,3304
1c5a971f-1681-42d3-931c-54a6d0140ce9,ebf52877-5d4e-475b-bd54-0fb989a8c897,cleaning,48
1c5a971f-1681-42d3-931c-54a6d0140ce9,c7e28562-63ee-437e-964b-1105fff027c5,construction,85
1c5a971f-1681-42d3-931c-54a6d0140ce9,db73fdd6-ce16-4438-bfef-c74a4a94348b,other,77
1c5a971f-1681-42d3-931c-54a6d0140ce9,fbf9b109-b81b-47aa-987e-142e00cac53e,cleaning,68
1c5a971f-1681-42d3-931c-54a6d0140ce9,21b8cf86-9a87-4983-9db2-fd80bee79879,install,140
3c80c32e-4dbe-41dc-b694-3827b4f1f745,557781ae-8b93-4268-a5e0-b69f6c939ff5,maintenance,733
3c80c32e-4dbe-41dc-b694-3827b4f1f745,12036646-3011-4772-b542-338b46a0db0d,construction,809
3c80c32e-4dbe-41dc-b694-3827b4f1f745,47af95bd-149f-45c6-a0d0-f67842d5bcc7,construction,963
3c80c32e-4dbe-41dc-b694-3827b4f1f745,d990c863-cd1c-4009-ac01-84ae0f636206,other,1910
3c80c32e-4dbe-41dc-b694-3827b4f1f745,7331a1b6-4b7f-4112-9824-8d4a3751795f,other,1961
d8e62c20-a314-42e6-8ed7-dc209b22e3bf,dcef7729-17cf-4e8c-b9cb-c1e932484000,other,2472
d8e62c20-a314-42e6-8ed7-dc209b22e3bf,2620b99a-ade0-455e-a8c1-849e6eb221c2,maintenance,12
d8e62c20-a314-42e6-8ed7-dc209b22e3bf,02e1626e-6213-4844-8524-ad677d81bde1,other,5493
09ed6c1d-43e2-424e-8b74-640a3a1bcb09,59d7b08d-9b59-49ca-81f8-a21640e70480,repair,1010
09ed6c1d-43e2-424e-8b74-640a3a1bcb09,49820687-1b25-434f-88fc-daae6bd18ea8,painting,1310
09ed6c1d-43e2-424e-8b74-640a3a1bcb09,362c1397-bf76-451b-b61f-202118028824,painting,1429
44bbf4e4-54cb-4089-9251-30142639d4f8,26f46eda-8ac9-4d8c-a618-caa3058e6e39,repair,307
44bbf4e4-54cb-4089-9251-30142639d4f8,e909b190-26e1-4c25-a009-7a3da55d9e28,other,947
44bbf4e4-54cb-4089-9251-30142639d4f8,ecc2e823-4a2f-4d64-a260-530cbeeb749b,construction,1114
44bbf4e4-54cb-4089-9251-30142639d4f8,51cce336-5d6d-4502-98d7-961308ecc634,maintenance,787
44bbf4e4-54cb-4089-9251-30142639d4f8,67e51ab7-7dc1-49ea-ae55-e3a2e9e2370f,install,2663
6871c227-d086-410b-9b47-7184e2ac4215,d6cafbfd-7d2e-42fd-abdc-03101a5ed800,other,197
8e4fd390-903c-40ac-b1f6-7a970a3a69ea,76e0f689-db22-4672-ad12-eb8a3221302f,maintenance,1166
8e4fd390-903c-40ac-b1f6-7a970a3a69ea,c80edfc1-adfa-422b-850e-ed461228e928,maintenance,220
8e4fd390-903c-40ac-b1f6-7a970a3a69ea,e27c5c81-4668-40de-becc-d6b64103f904,construction,757
8e4fd390-903c-40ac-b1f6-7a970a3a69ea,597cdd35-c477-471d-aec0-a755923f18ae,construction,5354
ea2fc49f-7b58-4051-b8a7-606165cf08a0,9b6da8f6-14af-4922-ae19-f4e5f8de6a86,painting,109
ea2fc49f-7b58-4051-b8a7-606165cf08a0,71596078-8a7d-43c4-a558-676f8cd425fb,maintenance,114
ea2fc49f-7b58-4051-b8a7-606165cf08a0,7bc5a191-91ec-41a4-913c-185fb8f1a468,install,7
ea2fc49f-7b58-4051-b8a7-606165cf08a0,0097fc43-c5e1-4538-80d7-570f91c1012d,maintenance,244
ea2fc49f-7b58-4051-b8a7-606165cf08a0,d81669ad-da9d-4b7a-a5d4-a936eb7120a9,install,266
7f29f24c-8142-4b5f-a8e4-3bd59382c04c,443c924d-98b5-4148-83fd-740c01d10342,painting,40
7f29f24c-8142-4b5f-a8e4-3bd59382c04c,4198fe38-adb7-4d59-9fc7-77c8c2cb1dfc,painting,70
7f29f24c-8142-4b5f-a8e4-3bd59382c04c,f91ede66-8d34-4bb8-a886-e251cc199729,other,1015
7f29f24c-8142-4b5f-a8e4-3bd59382c04c,682252d2-d0c1-4cd1-a4f3-a697fd8913f8,repair,1270
35cfb13c-ba47-4e7a-9918-c3ba79dea577,72682fd6-f81f-4e8b-96e0-600705a23c33,install,1143
35cfb13c-ba47-4e7a-9918-c3ba79dea577,dd20c2ae-84e6-4805-83ee-55fca0e1738d,install,9
35cfb13c-ba47-4e7a-9918-c3ba79dea577,a55d74cb-a071-441a-a9a5-a94a674c43d7,install,1458
35cfb13c-ba47-4e7a-9918-c3ba79dea577,405b8aeb-a983-40ce-855d-666681eab0c6,construction,853
35cfb13c-ba47-4e7a-9918-c3ba79dea577,39c50317-20b9-4592-8c60-3e319bf91db5,other,3056
aa7ca3ca-c896-4e61-91a7-fd1a910324ae,33ef2605-703f-4002-ae04-f143e0fafc19,other,73
aa7ca3ca-c896-4e61-91a7-fd1a910324ae,8ae874d5-c7d9-4a20-bbd4-86004775e36d,install,697
aa7ca3ca-c896-4e61-91a7-fd1a910324ae,9b8bc5db-b6c1-4a7a-a369-6ee978ee24a4,construction,827
aa7ca3ca-c896-4e61-91a7-fd1a910324ae,a5de891c-1289-4c0c-b698-a937cf4af116,painting,1854
81e438c3-d8e6-4a6b-8a33-d3b625c89e11,6692f58c-f9ad-4d4a-81f5-fe1b9e336a7a,other,258
81e438c3-d8e6-4a6b-8a33-d3b625c89e11,91c4b9d9-8de4-4058-adc6-0f9093f10941,repair,146
81e438c3-d8e6-4a6b-8a33-d3b625c89e11,41958617-23b8-421f-8f97-8a6084334c6e,install,212
81e438c3-d8e6-4a6b-8a33-d3b625c89e11,f8aed04f-1946-4536-80bd-91b50cb927f0,repair,21
81e438c3-d8e6-4a6b-8a33-d3b625c89e11,bd59ed6d-28fe-4e2f-ac0d-7ea5e04966cc,maintenance,1003
6aec6786-41d1-4a18-a23d-a4e279aa6ebc,581e6d60-2786-4180-81ae-6e5d26742b45,cleaning,1199
6aec6786-41d1-4a18-a23d-a4e279aa6ebc,be663974-9e1d-4148-847e-587484a29c39,maintenance,1718
6aec6786-41d1-4a18-a23d-a4e279aa6ebc,116bb892-13b0-4f4b-9f6e-3b2391dbd02a,maintenance,1026
6aec6786-41d1-4a18-a23d-a4e279aa6ebc,0a8820e8-141c-45a3-af7d-7051116df6d0,cleaning,1287
6aec6786-41d1-4a18-a23d-a4e279aa6ebc,a7a54d02-441d-44e1-a8f2-c36f8d0483b0,cleaning,3199
2ef65d39-d041-4af0-8caa-4f242cc56ad3,8689eae3-6f2d-4854-843e-8e8a468d8cb6,repair,238
2ef65d39-d041-4af0-8caa-4f242cc56ad3,ab4ad103-30a4-427c-bc23-4c045b788b97,install,266
2ef65d39-d041-4af0-8caa-4f242cc56ad3,2dc0ea6b-4b67-4d9f-9bc5-2d7d3ec5617e,construction,297
2ef65d39-d041-4af0-8caa-4f242cc56ad3,887ef002-f34b-427e-b0a4-3930b5466d5a,construction,317
5e5cd856-998a-4ace-b665-b1dd00002b21,d7cefebb-a68c-432d-b865-3bfc09aade20,install,1265
5e5cd856-998a-4ace-b665-b1dd00002b21,d18c104a-71d3-4574-b958-b4469ac999aa,construction,2815
46f64cc3-2b0a-4d40-82c3-6d10b1958ba5,c3efdbab-e55e-4fa7-86a8-1edc5c61d4ba,construction,194
46f64cc3-2b0a-4d40-82c3-6d10b1958ba5,37994e1f-50c5-4264-b58e-5a79b87eb910,maintenance,806
46f64cc3-2b0a-4d40-82c3-6d10b1958ba5,19ec2377-565e-4917-8cc0-da37159c4f4f,install,614
46f64cc3-2b0a-4d40-82c3-6d10b1958ba5,f0d14eeb-7155-4517-9cfe-3e29da294468,repair,1146
46f64cc3-2b0a-4d40-82c3-6d10b1958ba5,f27e1d5e-6822-44cc-ae24-2b8c6d5b4a0f,repair,2663
4558666f-f8ed-46ed-ad75-3bde2b0c06d7,3dd02e48-8522-4352-9a8e-ae63c8d4f947,install,2355
4558666f-f8ed-46ed-ad75-3bde2b0c06d7,84818082-370c-401a-9768-26c880c2e1cd,repair,1327
4558666f-f8ed-46ed-ad75-3bde2b0c06d7,0f9dd582-c049-404d-b73c-da487bd9d514,install,4048
86096c88-452e-429d-b368-618ac007d95c,6e89d785-5737-4b82-8d2e-91f0d730f62f,cleaning,865
86096c88-452e-429d-b368-618ac007d95c,8e16b6c7-d666-4916-aebd-a11b3144bd77,painting,7236
9d85d6ad-6794-47c2-bd43-fbc794b41865,fbc6a313-52f2-4aa2-bc61-22a3a046ff83,install,77
9d85d6ad-6794-47c2-bd43-fbc794b41865,afe58a65-bbe9-4276-a36b-26065fbb0731,maintenance,3309
9d85d6ad-6794-47c2-bd43-fbc794b41865,71f2d460-0909-4c3a-9f4f-e6bd6a30f7ca,cleaning,3785
398761ac-48ce-4d33-a20c-315e46ca7bcd,7f116877-0ad9-439b-979a-7c8565463593,repair,324
398761ac-48ce-4d33-a20c-315e46ca7bcd,8e904abe-fced-46c4-bc6f-34ba828eda43,cleaning,776
398761ac-48ce-4d33-a20c-315e46ca7bcd,54bf532f-1b2e-4a88-a739-f4e2d783bc4a,other,1171
398761ac-48ce-4d33-a20c-315e46ca7bcd,ecb500ac-5327-443f-acfa-05b65e24c001,install,4293
9205a679-b747-4b0e-92b5-535e2875b057,e571a400-84ab-427f-909f-a6476bb0841e,other,8029
3d5e40dd-dcc7-40be-8f6b-0991ebf595a8,9a570c59-432c-4308-807f-df627be26d77,repair,1412
a99dfd68-7bdf-4bb4-a274-e7169973fcdc,378e4e9a-14f7-40d3-9dc7-05130223ea86,painting,330
a99dfd68-7bdf-4bb4-a274-e7169973fcdc,0c8a7922-1169-498a-ac8f-e6392dd0f206,repair,2210
4f434991-1503-4fae-a24e-4ebd64128fa3,b603d5be-0b3a-491b-965e-6a6f122006d2,repair,126
4f434991-1503-4fae-a24e-4ebd64128fa3,355719f2-d746-46c2-bc19-50b2cecfa986,other,384
6706bb28-1d1a-4751-85b1-3f2e350feb04,9670b3e5-4256-44cb-9fa8-012918677b59,maintenance,731
68f00848-7bf4-45b8-b5af-1dba735b1c9b,357e0443-e109-4cdd-a071-a48d810226a4,install,699
68f00848-7bf4-45b8-b5af-1dba735b1c9b,476d55bc-b15c-40af-8bdd-f04a32a38b26,repair,1252
68f00848-7bf4-45b8-b5af-1dba735b1c9b,ab5ef904-bfee-4817-83e4-8d41bc31729f,cleaning,2456
f93fd6d9-0cbc-4fe5-adef-380372a2e8b6,fc2d7be4-2537-4287-be8e-4a469cfc6268,other,8974
68cefc0a-6539-470f-a40e-01802d19c384,0f5dd384-6a50-4ece-8632-b58aa1ba322f,cleaning,958
68cefc0a-6539-470f-a40e-01802d19c384,d90039ed-4274-4eac-9f56-4898d745f1d9,cleaning,1006
e42961f9-0c6f-4323-b0c8-667b5fc51e17,66f83825-4168-4af4-8c48-50d2320166eb,other,1780
e42961f9-0c6f-4323-b0c8-667b5fc51e17,86170068-222c-47eb-8e39-4a7dd7153d50,install,1851
e42961f9-0c6f-4323-b0c8-667b5fc51e17,21a55589-7cd2-43ce-9eb0-dee3c9d31134,install,3064
811a422e-2b52-4595-8f6b-b60630ad7893,3897370e-0d64-4126-985a-05f775d1c0ec,other,1087
811a422e-2b52-4595-8f6b-b60630ad7893,5cd229a5-3a4b-4381-96cb-d5a7106b15d1,construction,702
811a422e-2b52-4595-8f6b-b60630ad7893,7ceeb5e8-4df6-4f9b-9d53-2f32c877fe46,maintenance,1961
811a422e-2b52-4595-8f6b-b60630ad7893,8ea2be10-a3f0-4da2-acec-42b180074ed5,install,2285
0d74234d-abe2-4b5c-8f9a-051d32c2a305,d4245808-313b-4844-b2f9-4a4f42c8eaf2,construction,886
0d74234d-abe2-4b5c-8f9a-051d32c2a305,e3fbb39b-ad64-4b62-b8ae-f9f07f894f95,install,3460
36e12bdd-aaf2-49a2-bb72-e80cb2a3a910,87842b5c-7024-4cc3-92b4-2145fbb791d2,maintenance,3191
36e12bdd-aaf2-49a2-bb72-e80cb2a3a910,e0a7e10f-0553-4428-b9b1-18d217744883,painting,6532
29e7cf61-af43-4ac3-882a-5791ebdf58c1,1c7e2a70-94de-42b7-9861-11e74d2c4ba2,other,520
29e7cf61-af43-4ac3-882a-5791ebdf58c1,7ae50309-c707-4c83-8e61-f1a27ebb730e,construction,557
29e7cf61-af43-4ac3-882a-5791ebdf58c1,1a4fa307-cdfd-4f52-a97c-665c76b034a4,construction,1066
29e7cf61-af43-4ac3-882a-5791ebdf58c1,e7d255f4-724c-4e92-bf5f-57d5a88fb623,install,1303
52e36be6-0e39-41bf-a605-9fb06b3217c1,800f0549-001d-4d15-af33-be34c44793d7,install,2397
52e36be6-0e39-41bf-a605-9fb06b3217c1,984df906-bf57-4eb6-b188-547e55fa4899,install,6591
6d6d23a7-7dc9-46fc-8178-65306afa7600,f76d8303-9346-49be-ab2b-937adc939ab2,install,1208
6d6d23a7-7dc9-46fc-8178-65306afa7600,9dd51565-4811-40a0-956d-da4e4373915e,maintenance,773
6d6d23a7-7dc9-46fc-8178-65306afa7600,4838644a-3ac2-4b8a-b320-aabaee7bfa29,construction,1768
feba9468-ea75-47c2-a6a7-ad505a90d464,3e096254-6637-4ce3-9bd3-955fdac127d3,other,2118
feba9468-ea75-47c2-a6a7-ad505a90d464,10c15f19-739f-4461-81aa-b251623b7695,install,488
feba9468-ea75-47c2-a6a7-ad505a90d464,163c68b9-c275-45f2-b1eb-a8d3307f39a7,repair,5013
ccd228cd-d896-4fc4-9d4f-1e33a5399d1b,d875c618-e68d-4777-a556-21fcb66b6a3d,install,265
ccd228cd-d896-4fc4-9d4f-1e33a5399d1b,9185e387-97b7-45e2-8a4e-b436bb9663b3,install,2368
ccd228cd-d896-4fc4-9d4f-1e33a5399d1b,6eaad45f-265d-4e23-b619-39143538824f,maintenance,3346
f89183b1-77d4-4b5c-8d11-1f0c9f53a774,6dcaa4a7-a440-4dd7-aa4f-803729ac7b31,painting,1815
ba1e4fc2-5909-4899-9191-0e8657742a80,9e3db621-0cc3-462b-981b-d21be2513f64,other,1445
7cbd8fa2-cfd8-43ec-b011-1f348b80d272,5f71e6f1-1976-4e40-9509-489a7dea0f54,install,9219
dec00806-8208-4daa-a67c-cec053c96d51,2af8aae9-9814-4aa6-bcfc-bf1d5d1bc24b,install,2462
dec00806-8208-4daa-a67c-cec053c96d51,67c42a53-1ce7-4a3b-8744-6562901cc288,maintenance,2939
dec00806-8208-4daa-a67c-cec053c96d51,d807e939-229f-477c-a8c6-7d63b9dc6dad,install,2953
9882b51a-058d-4e1e-a403-d8d63d4c9e3d,b44f34ec-be2d-453f-83a1-71c944497010,cleaning,361
9882b51a-058d-4e1e-a403-d8d63d4c9e3d,01f60e4d-4fba-4c8f-a33e-cd7095aa257d,construction,796
72bb1769-5ba9-472f-81f8-5dcc88ade540,dd7ba488-e65a-4271-853a-0411f931a6b7,install,584
72bb1769-5ba9-472f-81f8-5dcc88ade540,884e1f8f-88cd-4c4d-ada4-1a56de61cc9d,maintenance,292
72bb1769-5ba9-472f-81f8-5dcc88ade540,9395c4f3-4c5a-4a32-8c1d-c68c5b726a6f,maintenance,3723
72bb1769-5ba9-472f-81f8-5dcc88ade540,88ddd1e6-d098-4844-8d3c-2b91d7cbd3e7,construction,5086
08963603-d224-4839-a7e1-e490370a1998,58faadad-8f98-4ce7-897a-09e6d14bceb8,repair,323
08963603-d224-4839-a7e1-e490370a1998,8dd744fd-4215-4f5f-a1a0-7e34278581d0,repair,548
08963603-d224-4839-a7e1-e490370a1998,28e4f73e-1b57-47c2-95b3-2a8d85d7ce97,painting,2052
472d82a0-d3c9-4d05-b155-9f627958a26c,6199fbea-a61d-4a6e-9ff6-8e697868bb40,other,6324
4f708c23-78ed-49c5-b5d7-805fb6fd121b,e545ac34-aece-4cc9-bc22-6902f74dfc9c,install,193
4f708c23-78ed-49c5-b5d7-805fb6fd121b,108fbd3f-8111-484e-94ec-634832cd029a,maintenance,738
4f708c23-78ed-49c5-b5d7-805fb6fd121b,cea2cab8-42ca-40e9-981e-951477f313a7,install,1369
4f708c23-78ed-49c5-b5d7-805fb6fd121b,798af868-b497-4e45-a6fd-e8b64432d093,install,519
4f708c23-78ed-49c5-b5d7-805fb6fd121b,b189adfc-fdba-4940-b6e0-d001db3945d3,painting,3943
8fd2c886-445b-4233-8cdc-ad881dd99246,8e97eee9-ef94-450c-9a4b-0bd5146600be,install,333
8fd2c886-445b-4233-8cdc-ad881dd99246,e9202a3a-480a-407c-9ca3-8c03d012f77c,repair,1232
8fd2c886-445b-4233-8cdc-ad881dd99246,218444e3-6943-49be-af73-0aa6876271d9,install,1816
8fd2c886-445b-4233-8cdc-ad881dd99246,b340c3b9-9d20-417c-a176-d3d522678388,maintenance,721
8fd2c886-445b-4233-8cdc-ad881dd99246,86cbfecf-c609-42ec-b618-5b9d60bb7ff8,other,3852
a4a1a129-623b-4649-ae90-6f229bcfffd0,92e74303-6fdb-447b-ade7-325566a8c427,maintenance,1471
afe00492-3388-41ab-abbb-a5dc80801872,25ec467b-eaf4-4058-8644-9cf6a35c64cd,install,2513
07bcaaa0-e422-4c11-bc6f-c17e2eebe387,5df9c2c0-5bbf-4cc9-95ca-bad3b365cd53,repair,609
07bcaaa0-e422-4c11-bc6f-c17e2eebe387,7569a44b-980e-4cbd-89f5-c0c301ef6f2c,painting,3388
070c57d3-f888-495b-8d7e-96f4ccf1f126,148384d2-033f-4b30-b56b-98ef2a5d17c1,painting,218
070c57d3-f888-495b-8d7e-96f4ccf1f126,04f9cefe-c94b-46b3-bf07-f9740729bab8,install,505
070c57d3-f888-495b-8d7e-96f4ccf1f126,ff9c231a-47a1-479f-8bee-4a2205a4b551,cleaning,226
