account_id,country,city,region
065ffb9e-ce2f-49e0-b82d-bd422b298e56,Australia,Brisbane,QLD-South
4b26253d-27da-4c5f-9715-ca7b177f5b0b,Canada,Toronto,ON-North
f8172553-a9dc-4c1d-a41f-66db3e0092c2,United States,Chicago,IL-North
327be09a-6d3a-4cc3-8a37-96ac225eb796,Australia,Melbourne,VIC-West
22ee3667-d8da-4aa5-968b-8642b9ddf493,Canada,Toronto,ON-South
5c1fe2da-e2df-444f-908c-a64bc62892fb,Canada,Calgary,AB-South
6621a099-f7ab-429c-bcc3-8615f6d0adfe,United States,Phoenix,AZ-South
b48b60f0-e726-49c8-a3d2-c72137adfab1,Australia,Adelaide,SA-North
e77049ce-fa64-458b-82de-13a1dd5ff5df,UK,Leeds,England-North
452560d4-c986-42a4-adf0-c73b38a3bd3f,United States,New York,NY-South
a9611233-b26f-43aa-9e35-15bdd0451c08,Canada,Toronto,ON-North
dd1173fb-fcba-4431-a0da-26ba61346959,Australia,Sydney,NSW-South
4e655179-8371-497d-8dae-9995e0c2b45c,United States,New York,NY-South
0ce9ffb3-1749-40eb-a1fe-7da2f646b924,United States,Los Angeles,CA-East
652442d3-bf37-4e4a-ae64-6b761b91613a,Canada,Vancouver,BC-West
ff457587-858e-4771-9606-ef11979afe69,United States,New York,NY-North
c9aaa76a-8db9-4f07-88ba-53f6085b04fd,UK,London,England-South
463eb3f1-6ff0-4be5-92df-7088382503c8,United States,Houston,TX-North
9832c83e-617d-4adc-ba21-88152fcd17ce,UK,Glasgow,Scotland-East
92773c88-02a8-4af0-9d58-298c1b92c313,UK,Birmingham,England-Central
db2c8eeb-4a76-4f8d-abd6-5e3ad6193347,Australia,Brisbane,QLD-North
373a5cfd-9beb-4707-81f0-82d4723a940f,Canada,Calgary,AB-South
4f5cefdc-03eb-4e7f-ba01-e950dbfbc342,UK,Leeds,England-Central
3b63bc88-012d-4503-93ea-e03e715def0a,Canada,Toronto,ON-North
3ec70d38-096c-4e9d-9fdf-86152c7e5f14,Australia,Melbourne,VIC-West
4362f0da-6af6-4249-ba93-5672b1b6ab51,UK,Glasgow,Scotland-West
1524b9c0-f574-48ea-91a7-02cf07a42222,Australia,Adelaide,SA-South
175a1703-cc80-46d2-9ff5-85d7611ee709,UK,London,England-East
735ec6a5-05d1-4bd9-bb20-f04b4e5eb69d,Canada,Calgary,AB-North
00d39602-5b10-437e-a92b-04d4955d3a21,United States,Phoenix,AZ-South
521287f2-764c-4816-b9b0-b5aa84339a8d,Australia,Perth,WA-East
e06a10a6-4065-4124-8766-1bdc454946a0,United States,Phoenix,AZ-North
af46f754-5ae0-4053-8dc1-a75f807fad7d,UK,Birmingham,England-Central
b505dc5c-9d33-4333-a4f9-d5e244373077,United States,Houston,TX-South
e0d9d465-29f8-43d9-9a6b-e94d4da5a5d5,United States,Houston,TX-South
b6ab1634-bb21-496c-92f6-6b222738265c,Australia,Melbourne,VIC-East
0c5dab51-1432-4bbc-8abe-901d63ee79c7,United States,New York,NY-North
eaa54c2d-9ea2-48a6-94b0-f1824808b82f,Canada,Toronto,ON-North
fa668576-8c3d-4fe6-b659-77a58c1632f1,UK,Birmingham,England-Central
99048f91-2abc-4074-8c12-130b5a8413d9,UK,Birmingham,England-Central
03c63574-ecda-4718-9609-d8b02ea5b74d,Canada,Calgary,AB-South
834f964e-6922-4431-bc87-46d62e506950,Canada,Vancouver,BC-East
e4cf221e-2da2-4638-b906-be9317fb62ce,United States,New York,NY-South
d246094d-cabf-47ee-839f-33fae38ed9af,United States,Phoenix,AZ-South
69e5455a-0878-416f-acb6-8cc7a4c84bdc,Canada,Montreal,QC-North
a1b09b53-2902-472f-b767-e6a7fa85dd48,UK,Birmingham,England-Central
824e0d70-cee3-4d84-abe5-5939316dd6aa,Canada,Ottawa,ON-Central
55371754-8af2-4a92-a680-7fd7e9bc91bb,Australia,Perth,WA-East
dd34685c-455b-4c69-80d4-9adbe8662ce0,UK,London,England-South
10a1b5a0-ede4-4765-89ed-9aed0681ad95,UK,Leeds,England-North
ab347256-e985-499c-ae9e-37be604737f3,Australia,Sydney,NSW-North
8d89011c-bd77-48c2-a9d1-a46e5d3a2295,United States,Chicago,IL-North
c6371601-d228-4dfa-9811-f369d76fda5c,UK,Glasgow,Scotland-West
dbe56c69-a34b-4d52-82ae-d3c30cf7bbf9,United States,Phoenix,AZ-South
3fe58079-d3a4-4da2-be11-5cbb30209bb5,Canada,Vancouver,BC-West
989309ba-9a40-47a3-a817-e5dfac27cc25,Canada,Montreal,QC-North
58864e8f-bbec-48c2-894f-8cb228935c1e,Canada,Ottawa,ON-Central
c8435b12-b4be-40da-ba75-697f6481a6d0,United States,Houston,TX-North
8d3bcea6-9bf1-477a-bfb3-4360ffd7b0ad,Australia,Adelaide,SA-South
f7dcbe15-313c-4faf-a575-c192d986790c,Australia,Perth,WA-East
683dcb05-58a8-477f-959a-161403f840e2,United States,New York,NY-North
325b99ee-651d-4596-9765-fd42ee8e0a5a,Canada,Calgary,AB-North
22ce9ad2-9898-477f-bc92-e521e27f94ba,Canada,Toronto,ON-North
32b7ee90-9fc1-4e4d-93f3-d432df4f9544,UK,Birmingham,England-Central
78523d29-ead9-4660-811a-732a4e85eba6,UK,London,England-South
5a6ec08c-698b-4977-a8ad-112f46f71c7f,Australia,Melbourne,VIC-West
49a14b15-47b1-444f-9f67-309e32c0b9ce,United States,Houston,TX-North
7cf89389-aae9-4b0f-9e5e-3617883c70a2,United States,New York,NY-North
801088c0-5c69-4445-bfab-11bad2829020,Canada,Vancouver,BC-East
af54813c-6176-4002-ae5f-9036f51882b7,UK,Glasgow,Scotland-West
cd1abb3a-5983-4c46-b3b9-25855efd82d9,United States,New York,NY-North
6a4fc821-f814-4e33-bec8-b7e552637702,UK,Leeds,England-Central
15e6b1c6-8bdd-4b72-ac09-e3569afe021d,Australia,Brisbane,QLD-South
958fb586-95f3-4520-8e8b-ada64a837ded,Australia,Adelaide,SA-South
7f917260-dc4f-4f99-97eb-25451e9eb373,United States,Chicago,IL-South
28a4b09a-4ac7-49bc-b4f9-35f26122dfa2,Canada,Vancouver,BC-West
cf35afc1-b48c-493a-86a7-8d2e29ffd67d,United States,New York,NY-South
8cda22b2-76a1-466c-8a6f-8952c2c82344,Australia,Perth,WA-East
95640eb9-9b9c-48e5-900a-b5c8a2a7ace5,UK,London,England-South
d13759bd-fafe-4a4a-a868-f115bd2bd302,Canada,Ottawa,ON-Central
c1aaac1e-b0ff-4695-861a-7580d712f83f,Australia,Adelaide,SA-South
2a70af0a-4bf6-41c8-9023-b07715a23579,Canada,Calgary,AB-North
f5231158-15cd-4b17-96e8-a2a10ac45873,United States,Houston,TX-North
884c0d87-d19e-4e76-9a3f-20e6365b528a,United States,Los Angeles,CA-West
7b1302e2-846a-49dd-8c21-00d83c468dfb,United States,Phoenix,AZ-North
3b55f444-b116-4d84-822a-25c0abd9ad44,UK,London,England-South
e2a351c5-ef7d-4100-937a-8cf3c67bfe31,United States,Los Angeles,CA-East
a4f34fa2-3cc7-4e67-90d1-c677e5c84828,United States,New York,NY-South
8b52b62e-dfb9-4ae6-a2ed-3f195c5927f8,Australia,Perth,WA-East
e167a0cd-f2d0-4e79-b751-1f5350fec32c,Canada,Vancouver,BC-West
4f9615b0-0dc5-4caf-ac3d-b3c940e7e74e,United States,Los Angeles,CA-West
9757e7a6-4e84-4b04-8fb5-33bb5a924f1b,United States,Houston,TX-North
6c360813-f686-4433-989c-0e01ba55fab9,Australia,Brisbane,QLD-South
48c7ae96-5100-4f18-a793-8f226b3e1178,Australia,Brisbane,QLD-South
07b64ef2-5424-4875-932d-f2a67c68bb41,UK,Manchester,England-North
b490bb21-73de-4fc7-91c6-03415c80861d,Australia,Sydney,NSW-North
a5354e30-9672-4bd6-bcff-8d24d42eb5bf,United States,Houston,TX-South
30a494d7-17ba-4465-ba8d-0a4e53692af4,Canada,Ottawa,ON-Central
e3b21618-9dee-482f-8f2b-7635e2de0dff,Australia,Perth,WA-East
a7abb764-4846-46f1-a678-fb472cc7f78b,Australia,Perth,WA-East
ce1849ba-040b-436b-ad2d-3d838ac060bd,Australia,Perth,WA-East
7c922e58-0a0c-452d-b53e-d75ec7527932,UK,London,England-South
65cc6f67-49e0-4d39-b4d5-efc7ea8f1f9c,UK,London,England-East
4727415e-697b-45b6-b5cd-8bbd0a68e7f4,United States,New York,NY-South
545c0282-6786-4f44-a4ee-f1cb234eb527,Canada,Toronto,ON-North
54983639-2107-4267-aeaa-9de8676c7bb1,United States,Houston,TX-North
42ce162c-e571-4eda-82d3-c9e4367de93a,Australia,Sydney,NSW-North
bb35b5e6-8e18-40be-9e51-956861e40e1e,Australia,Adelaide,SA-North
831d2c2b-9549-440b-bfbe-dc9d62c603ee,United States,Houston,TX-North
c0ed5ab2-ad7f-4f57-b21b-b3603f48ca8c,UK,Leeds,England-Central
c46474df-5d6e-4e01-a4e3-81c6a7181f33,Canada,Montreal,QC-North
e99b7f0e-ff96-4739-9059-2763177d32f0,Australia,Brisbane,QLD-South
3e47a241-1dc8-4707-9647-ed5f0b645596,United States,Phoenix,AZ-North
28862ebb-f2f5-4674-8f9b-a54f7e7bf436,United States,Chicago,IL-North
d96a7f80-bfec-4a0c-bbbf-0dfbf98f6a6b,United States,Phoenix,AZ-South
4e070720-4602-4082-83cb-94594e253866,Canada,Montreal,QC-South
f7851543-eda9-45fa-9e3b-de3b0805de23,United States,Chicago,IL-North
6a026b0e-cf37-4734-9521-a4770de751ca,United States,Los Angeles,CA-West
3ad44c9a-2007-436a-b23e-ded23d77f898,Australia,Melbourne,VIC-West
feccdb15-7aa7-40f1-b424-07e04d4e35c6,UK,Glasgow,Scotland-West
2c50a91f-982c-465a-bf5d-48b86527a82a,United States,Phoenix,AZ-North
dfa1bf1a-c994-40c9-b4a2-2d4448c4a49c,Canada,Toronto,ON-North
5be8a420-9af5-4f89-99d6-6acc1bb5a3ce,UK,London,England-East
7e98cd91-4732-4f4e-9e97-a87866bb5ac7,UK,Birmingham,England-Central
fa21e145-7fb2-4020-ba04-2bc4aca60a1e,Canada,Vancouver,BC-West
c9a88178-68f8-46f1-9e21-06abf6ccb607,UK,Manchester,England-West
7a5717aa-9655-41ca-bd04-21a46aa425f8,Australia,Perth,WA-West
ea2703b1-5995-4e62-bafe-b61a1050e913,UK,Birmingham,England-Central
889dd245-90a3-493c-af00-58017c5062f9,Canada,Toronto,ON-South
f9f9f43b-dc63-4718-a1c0-555128bf5d72,Canada,Toronto,ON-North
debfa569-0112-4198-8f4a-2c8d357dcaa7,United States,Los Angeles,CA-West
7cc0ca96-c358-4ae3-8859-7e58e092dfbc,Canada,Ottawa,ON-Central
440ed331-e481-4c1f-815f-686a998f847a,UK,London,England-East
62939901-b6f8-4ce9-bc8c-191fbae55488,UK,London,England-East
f89e6bea-68b5-457f-8919-203c05cddbd9,United States,Houston,TX-South
93e63f7f-d16f-43d9-ba08-b225d93aa203,Australia,Melbourne,VIC-East
903a1a3e-7efe-439f-8feb-462107ab3bca,United States,New York,NY-South
a2bb5328-f036-4237-aa45-3239118fb7a1,UK,Leeds,England-Central
cceef38c-8851-483b-bcc1-df443e07cdb1,United States,New York,NY-South
8036b762-f746-483a-8edb-19e501de3967,Canada,Ottawa,ON-Central
02eae8f3-6a6e-47e1-b1af-bad3bdac0c7c,Australia,Melbourne,VIC-West
7c338c61-52e0-484e-9a19-250cd1e7facc,UK,Glasgow,Scotland-West
c34d911a-2ed8-4637-ae36-4126228f7b82,UK,Glasgow,Scotland-East
36cd11d6-daf0-432f-862a-d7ed38fc8219,Australia,Melbourne,VIC-West
075fc665-2350-46c7-a449-5d11d88163df,United States,Los Angeles,CA-West
3f8060e6-94d9-48b9-8747-ddca5e3b619c,UK,Manchester,England-West
a554f17a-9841-4881-b1e9-9ca3ff7ab7a9,Australia,Adelaide,SA-North
ef53b245-3e7c-4e27-b6cc-de59dbf444cf,United States,Chicago,IL-North
9115bc00-608c-4bf9-af98-c5bd6e3aca5e,United States,Chicago,IL-North
e031c22b-21f4-4f7c-bf09-cc094506a1b5,Australia,Adelaide,SA-South
25de3d8f-7967-4e1c-aaef-272aebf6b7b8,United States,Houston,TX-North
522ba05d-5970-4b3a-a37c-254eee0dac9d,Australia,Sydney,NSW-South
82fc6dff-dfb7-42ab-8971-bc695da81127,UK,Manchester,England-West
0781421f-47ea-4439-999f-8e460e3fecc8,United States,New York,NY-North
69b63243-5aec-474e-8b05-5ca5f938b35d,United States,Houston,TX-North
7e6086a6-b3cf-423b-8f42-b471b9fca473,UK,London,England-South
3c37ea49-97a9-42c1-98d0-984637c1f82e,United States,Phoenix,AZ-North
3fa33217-87db-49e7-b6ec-724c53efda91,UK,Leeds,England-North
bdcabea4-603d-427c-a959-24aded0aa84c,Canada,Montreal,QC-North
1a9491df-1474-419d-9260-712a5cc72088,Australia,Adelaide,SA-South
fb8d97b0-bbbc-465a-94ad-727366c1cad8,Canada,Montreal,QC-North
fb0e0e55-aecd-474a-87e2-798fdcd4ff30,UK,Glasgow,Scotland-East
36e574b2-90a7-4326-ab05-3c79efe2cb30,UK,Glasgow,Scotland-West
3a55c8e3-2b47-40ba-acd2-7f8dde5755f6,Canada,Calgary,AB-North
