id,sign_up_time,sign_up_platform
4e655179-8371-497d-8dae-9995e0c2b45c,2024-02-14 15:23:36,mobile-android
0ce9ffb3-1749-40eb-a1fe-7da2f646b924,2024-08-08 19:33:26,web-browser
652442d3-bf37-4e4a-ae64-6b761b91613a,2024-01-27 22:59:47,web-browser
ff457587-858e-4771-9606-ef11979afe69,2024-06-27 09:09:18,mobile-ipad
c9aaa76a-8db9-4f07-88ba-53f6085b04fd,2024-10-13 20:48:00,mobile-android
463eb3f1-6ff0-4be5-92df-7088382503c8,2024-10-12 16:16:51,web-browser
9832c83e-617d-4adc-ba21-88152fcd17ce,2024-12-03 02:47:06,mobile-ios
92773c88-02a8-4af0-9d58-298c1b92c313,2024-11-26 08:41:02,mobile-android
db2c8eeb-4a76-4f8d-abd6-5e3ad6193347,2024-05-14 06:59:19,mobile-ipad
373a5cfd-9beb-4707-81f0-82d4723a940f,2024-12-23 13:33:29,mobile-ios
4f5cefdc-03eb-4e7f-ba01-e950dbfbc342,2024-11-01 22:01:06,web-browser
3b63bc88-012d-4503-93ea-e03e715def0a,2024-08-05 10:20:23,mobile-ios
3ec70d38-096c-4e9d-9fdf-86152c7e5f14,2024-11-11 19:24:22,web-browser
4362f0da-6af6-4249-ba93-5672b1b6ab51,2024-03-30 22:37:19,mobile-android
1524b9c0-f574-48ea-91a7-02cf07a42222,2024-01-17 03:06:36,mobile-ipad
175a1703-cc80-46d2-9ff5-85d7611ee709,2024-08-16 23:50:06,mobile-ipad
735ec6a5-05d1-4bd9-bb20-f04b4e5eb69d,2024-05-16 21:45:33,web-browser
00d39602-5b10-437e-a92b-04d4955d3a21,2024-03-18 02:51:20,web-browser
521287f2-764c-4816-b9b0-b5aa84339a8d,2024-12-22 18:49:40,mobile-android
e06a10a6-4065-4124-8766-1bdc454946a0,2024-07-02 13:33:26,mobile-ipad
af46f754-5ae0-4053-8dc1-a75f807fad7d,2024-07-30 21:36:50,mobile-ipad
b505dc5c-9d33-4333-a4f9-d5e244373077,2024-12-05 07:08:00,mobile-ipad
e0d9d465-29f8-43d9-9a6b-e94d4da5a5d5,2024-10-29 07:58:45,mobile-ipad
b6ab1634-bb21-496c-92f6-6b222738265c,2024-03-16 07:10:29,mobile-ipad
0c5dab51-1432-4bbc-8abe-901d63ee79c7,2024-01-09 07:45:57,mobile-android
eaa54c2d-9ea2-48a6-94b0-f1824808b82f,2024-07-31 00:15:12,mobile-ipad
fa668576-8c3d-4fe6-b659-77a58c1632f1,2024-05-31 17:41:55,mobile-ipad
99048f91-2abc-4074-8c12-130b5a8413d9,2024-02-25 16:22:21,mobile-ios
03c63574-ecda-4718-9609-d8b02ea5b74d,2024-02-12 01:44:23,mobile-ios
834f964e-6922-4431-bc87-46d62e506950,2024-05-14 10:39:43,mobile-android
e4cf221e-2da2-4638-b906-be9317fb62ce,2024-09-04 00:16:44,mobile-android
d246094d-cabf-47ee-839f-33fae38ed9af,2024-10-30 21:55:37,mobile-ios
69e5455a-0878-416f-acb6-8cc7a4c84bdc,2024-05-19 21:24:09,mobile-ipad
a1b09b53-2902-472f-b767-e6a7fa85dd48,2024-12-17 05:18:15,mobile-ios
824e0d70-cee3-4d84-abe5-5939316dd6aa,2024-06-13 23:55:17,mobile-ipad
55371754-8af2-4a92-a680-7fd7e9bc91bb,2024-01-21 14:53:00,mobile-ios
dd34685c-455b-4c69-80d4-9adbe8662ce0,2024-12-30 20:12:00,mobile-ipad
10a1b5a0-ede4-4765-89ed-9aed0681ad95,2024-03-15 10:56:51,mobile-ipad
ab347256-e985-499c-ae9e-37be604737f3,2024-03-19 21:07:04,mobile-ipad
8d89011c-bd77-48c2-a9d1-a46e5d3a2295,2024-03-25 20:51:18,mobile-android
c6371601-d228-4dfa-9811-f369d76fda5c,2024-11-07 01:18:19,mobile-android
dbe56c69-a34b-4d52-82ae-d3c30cf7bbf9,2024-03-28 01:04:04,mobile-ios
3fe58079-d3a4-4da2-be11-5cbb30209bb5,2024-08-05 15:46:46,mobile-ipad
989309ba-9a40-47a3-a817-e5dfac27cc25,2024-12-09 22:46:24,web-browser
58864e8f-bbec-48c2-894f-8cb228935c1e,2024-06-03 18:40:45,mobile-android
c8435b12-b4be-40da-ba75-697f6481a6d0,2024-02-27 03:14:14,mobile-ipad
8d3bcea6-9bf1-477a-bfb3-4360ffd7b0ad,2024-03-18 23:02:31,mobile-android
f7dcbe15-313c-4faf-a575-c192d986790c,2024-03-27 01:40:38,web-browser
683dcb05-58a8-477f-959a-161403f840e2,2024-10-29 03:56:36,web-browser
325b99ee-651d-4596-9765-fd42ee8e0a5a,2024-10-26 04:49:46,mobile-ipad
22ce9ad2-9898-477f-bc92-e521e27f94ba,2024-07-01 08:28:54,mobile-ipad
32b7ee90-9fc1-4e4d-93f3-d432df4f9544,2024-10-06 03:17:49,mobile-ios
78523d29-ead9-4660-811a-732a4e85eba6,2024-01-08 03:04:32,mobile-ipad
5a6ec08c-698b-4977-a8ad-112f46f71c7f,2024-05-12 02:05:14,mobile-ipad
49a14b15-47b1-444f-9f67-309e32c0b9ce,2024-01-01 16:04:12,web-browser
7cf89389-aae9-4b0f-9e5e-3617883c70a2,2024-08-16 11:38:25,mobile-ipad
801088c0-5c69-4445-bfab-11bad2829020,2024-12-27 12:34:40,web-browser
af54813c-6176-4002-ae5f-9036f51882b7,2024-10-15 12:47:56,mobile-ios
cd1abb3a-5983-4c46-b3b9-25855efd82d9,2024-07-07 09:05:19,mobile-ios
6a4fc821-f814-4e33-bec8-b7e552637702,2024-06-14 22:15:07,mobile-ipad
15e6b1c6-8bdd-4b72-ac09-e3569afe021d,2024-06-04 22:57:54,web-browser
958fb586-95f3-4520-8e8b-ada64a837ded,2024-04-10 07:36:23,mobile-ipad
7f917260-dc4f-4f99-97eb-25451e9eb373,2024-10-30 17:26:11,web-browser
28a4b09a-4ac7-49bc-b4f9-35f26122dfa2,2024-07-15 09:12:30,mobile-ios
cf35afc1-b48c-493a-86a7-8d2e29ffd67d,2024-12-07 04:53:48,mobile-ipad
8cda22b2-76a1-466c-8a6f-8952c2c82344,2024-03-11 19:42:40,mobile-ios
95640eb9-9b9c-48e5-900a-b5c8a2a7ace5,2024-08-26 13:29:34,web-browser
d13759bd-fafe-4a4a-a868-f115bd2bd302,2024-09-22 18:58:01,mobile-ipad
c1aaac1e-b0ff-4695-861a-7580d712f83f,2024-08-24 23:08:15,mobile-ipad
2a70af0a-4bf6-41c8-9023-b07715a23579,2024-10-23 00:52:18,mobile-ios
f5231158-15cd-4b17-96e8-a2a10ac45873,2024-08-30 12:43:51,mobile-ios
884c0d87-d19e-4e76-9a3f-20e6365b528a,2024-08-24 15:02:40,mobile-android
7b1302e2-846a-49dd-8c21-00d83c468dfb,2024-09-17 08:52:58,mobile-ipad
3b55f444-b116-4d84-822a-25c0abd9ad44,2024-12-28 16:32:41,mobile-ipad
e2a351c5-ef7d-4100-937a-8cf3c67bfe31,2024-10-14 08:02:39,mobile-ios
a4f34fa2-3cc7-4e67-90d1-c677e5c84828,2024-05-26 17:11:41,mobile-android
8b52b62e-dfb9-4ae6-a2ed-3f195c5927f8,2024-04-08 08:12:42,mobile-android
e167a0cd-f2d0-4e79-b751-1f5350fec32c,2024-03-25 11:50:15,mobile-android
4f9615b0-0dc5-4caf-ac3d-b3c940e7e74e,2024-06-17 03:41:45,mobile-ios
9757e7a6-4e84-4b04-8fb5-33bb5a924f1b,2024-06-22 22:30:10,mobile-ios
6c360813-f686-4433-989c-0e01ba55fab9,2024-07-21 17:04:24,mobile-ipad
48c7ae96-5100-4f18-a793-8f226b3e1178,2024-05-23 09:06:00,mobile-android
07b64ef2-5424-4875-932d-f2a67c68bb41,2024-04-07 15:44:55,mobile-ios
b490bb21-73de-4fc7-91c6-03415c80861d,2024-06-14 19:44:38,mobile-ios
a5354e30-9672-4bd6-bcff-8d24d42eb5bf,2024-07-08 09:52:06,mobile-android
30a494d7-17ba-4465-ba8d-0a4e53692af4,2024-08-29 08:20:10,mobile-ios
e3b21618-9dee-482f-8f2b-7635e2de0dff,2024-03-13 00:06:17,mobile-android
a7abb764-4846-46f1-a678-fb472cc7f78b,2024-06-13 05:19:58,mobile-android
ce1849ba-040b-436b-ad2d-3d838ac060bd,2024-03-16 20:35:29,web-browser
7c922e58-0a0c-452d-b53e-d75ec7527932,2024-09-07 18:03:47,web-browser
65cc6f67-49e0-4d39-b4d5-efc7ea8f1f9c,2024-03-07 14:13:13,mobile-android
4727415e-697b-45b6-b5cd-8bbd0a68e7f4,2024-10-07 11:30:55,mobile-ipad
545c0282-6786-4f44-a4ee-f1cb234eb527,2024-11-02 14:47:56,web-browser
54983639-2107-4267-aeaa-9de8676c7bb1,2024-12-13 23:37:26,web-browser
42ce162c-e571-4eda-82d3-c9e4367de93a,2024-12-10 08:23:06,mobile-android
bb35b5e6-8e18-40be-9e51-956861e40e1e,2024-12-30 01:28:06,mobile-ipad
831d2c2b-9549-440b-bfbe-dc9d62c603ee,2024-07-26 16:04:20,web-browser
c0ed5ab2-ad7f-4f57-b21b-b3603f48ca8c,2024-06-09 05:09:20,mobile-ios
c46474df-5d6e-4e01-a4e3-81c6a7181f33,2024-07-27 02:53:13,mobile-ios
e99b7f0e-ff96-4739-9059-2763177d32f0,2024-03-03 23:58:08,mobile-ios
3e47a241-1dc8-4707-9647-ed5f0b645596,2024-05-08 21:50:01,mobile-android
28862ebb-f2f5-4674-8f9b-a54f7e7bf436,2024-03-13 22:01:31,mobile-android
d96a7f80-bfec-4a0c-bbbf-0dfbf98f6a6b,2024-09-26 02:26:48,mobile-android
4e070720-4602-4082-83cb-94594e253866,2024-01-27 15:44:39,mobile-ipad
f7851543-eda9-45fa-9e3b-de3b0805de23,2024-02-21 09:41:18,mobile-ios
6a026b0e-cf37-4734-9521-a4770de751ca,2024-02-16 23:05:40,mobile-ipad
3ad44c9a-2007-436a-b23e-ded23d77f898,2024-05-22 03:35:50,mobile-ipad
feccdb15-7aa7-40f1-b424-07e04d4e35c6,2024-07-17 12:17:20,mobile-ipad
2c50a91f-982c-465a-bf5d-48b86527a82a,2024-05-14 08:36:40,web-browser
dfa1bf1a-c994-40c9-b4a2-2d4448c4a49c,2024-09-30 14:23:30,mobile-ipad
5be8a420-9af5-4f89-99d6-6acc1bb5a3ce,2024-04-02 13:06:24,mobile-ios
7e98cd91-4732-4f4e-9e97-a87866bb5ac7,2024-12-04 08:20:28,mobile-android
fa21e145-7fb2-4020-ba04-2bc4aca60a1e,2024-08-21 18:18:52,mobile-ios
c9a88178-68f8-46f1-9e21-06abf6ccb607,2024-11-16 15:58:22,mobile-ios
7a5717aa-9655-41ca-bd04-21a46aa425f8,2024-09-16 05:03:39,mobile-ios
ea2703b1-5995-4e62-bafe-b61a1050e913,2024-02-29 08:00:17,mobile-android
889dd245-90a3-493c-af00-58017c5062f9,2024-12-08 16:31:36,mobile-ipad
f9f9f43b-dc63-4718-a1c0-555128bf5d72,2024-07-18 11:14:03,mobile-ipad
debfa569-0112-4198-8f4a-2c8d357dcaa7,2024-06-30 08:53:34,mobile-ios
7cc0ca96-c358-4ae3-8859-7e58e092dfbc,2024-05-26 12:38:35,web-browser
440ed331-e481-4c1f-815f-686a998f847a,2024-04-21 10:38:15,web-browser
62939901-b6f8-4ce9-bc8c-191fbae55488,2024-07-15 19:18:06,web-browser
f89e6bea-68b5-457f-8919-203c05cddbd9,2024-08-29 08:28:12,mobile-ios
93e63f7f-d16f-43d9-ba08-b225d93aa203,2024-01-02 15:52:28,mobile-android
903a1a3e-7efe-439f-8feb-462107ab3bca,2024-03-16 21:31:59,mobile-ios
a2bb5328-f036-4237-aa45-3239118fb7a1,2024-07-31 16:22:17,mobile-android
cceef38c-8851-483b-bcc1-df443e07cdb1,2024-04-09 17:07:30,mobile-android
8036b762-f746-483a-8edb-19e501de3967,2024-08-13 07:11:43,mobile-ios
02eae8f3-6a6e-47e1-b1af-bad3bdac0c7c,2024-01-12 15:48:41,web-browser
7c338c61-52e0-484e-9a19-250cd1e7facc,2024-04-25 14:11:26,mobile-ipad
c34d911a-2ed8-4637-ae36-4126228f7b82,2024-08-26 11:45:25,mobile-android
36cd11d6-daf0-432f-862a-d7ed38fc8219,2024-04-30 14:45:38,web-browser
075fc665-2350-46c7-a449-5d11d88163df,2024-10-28 22:49:52,mobile-ipad
3f8060e6-94d9-48b9-8747-ddca5e3b619c,2024-03-16 16:53:00,mobile-ios
a554f17a-9841-4881-b1e9-9ca3ff7ab7a9,2024-11-04 03:27:36,mobile-android
ef53b245-3e7c-4e27-b6cc-de59dbf444cf,2024-12-04 19:10:26,mobile-ipad
9115bc00-608c-4bf9-af98-c5bd6e3aca5e,2024-05-25 08:34:15,mobile-android
e031c22b-21f4-4f7c-bf09-cc094506a1b5,2024-11-10 00:07:35,mobile-ipad
25de3d8f-7967-4e1c-aaef-272aebf6b7b8,2024-10-25 14:30:55,mobile-android
522ba05d-5970-4b3a-a37c-254eee0dac9d,2024-12-09 10:29:20,mobile-ios
82fc6dff-dfb7-42ab-8971-bc695da81127,2024-05-15 01:24:16,mobile-ios
0781421f-47ea-4439-999f-8e460e3fecc8,2024-06-08 13:04:50,web-browser
69b63243-5aec-474e-8b05-5ca5f938b35d,2024-04-11 17:26:52,mobile-ios
7e6086a6-b3cf-423b-8f42-b471b9fca473,2024-03-25 21:13:30,mobile-ipad
3c37ea49-97a9-42c1-98d0-984637c1f82e,2024-08-31 01:25:22,mobile-ios
3fa33217-87db-49e7-b6ec-724c53efda91,2024-10-22 05:00:02,mobile-android
bdcabea4-603d-427c-a959-24aded0aa84c,2024-03-30 04:54:34,web-browser
1a9491df-1474-419d-9260-712a5cc72088,2024-08-18 14:46:15,web-browser
fb8d97b0-bbbc-465a-94ad-727366c1cad8,2024-06-19 15:22:39,mobile-ios
fb0e0e55-aecd-474a-87e2-798fdcd4ff30,2024-12-25 17:28:36,mobile-android
36e574b2-90a7-4326-ab05-3c79efe2cb30,2024-10-13 16:57:56,mobile-android
3a55c8e3-2b47-40ba-acd2-7f8dde5755f6,2024-02-05 16:41:47,mobile-ipad
